,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,email_domain,prev exp,no. of visits,result,inv_user_status,cr_year,cr_mon,week_no,day
187,ORG_INVITE,0,0,30,yahoo.com,0,16,True,False,2014,03,week3,Tuesday
188,PERSONAL_PROJECTS,0,1,252,yahoo.com,0,1,False,uninvited,2013,08,week2,Tuesday
189,GUEST_INVITE,0,0,200,cuvox.de,0,0,False,False,2012,07,week1,Monday
190,GUEST_INVITE,0,0,0,lupoa.com,0,0,False,False,2013,07,week5,Wednesday
191,SIGNUP,0,0,187,gmail.com,0,0,False,uninvited,2013,10,week4,Wednesday
192,ORG_INVITE,1,0,122,jourrapide.com,0,1,False,False,2012,10,week5,Tuesday
193,GUEST_INVITE,0,0,353,gmail.com,0,0,False,False,2013,10,week2,Saturday
194,ORG_INVITE,0,0,135,wogms.com,0,1,False,False,2013,10,week1,Thursday
195,GUEST_INVITE,0,0,3,gmail.com,0,1,False,False,2014,02,week3,Sunday
196,GUEST_INVITE,1,0,135,hotmail.com,0,205,True,False,2012,07,week1,Wednesday
197,ORG_INVITE,0,1,328,gustr.com,0,1,False,False,2013,05,week2,Saturday
198,GUEST_INVITE,0,0,64,gustr.com,0,0,False,True,2013,09,week3,Saturday
199,ORG_INVITE,1,1,107,gmail.com,1,159,True,False,2013,02,week4,Saturday
200,ORG_INVITE,1,1,263,jourrapide.com,0,1,False,False,2013,12,week1,Saturday
201,GUEST_INVITE,1,0,5,yahoo.com,0,56,True,False,2013,11,week2,Sunday
202,GUEST_INVITE,1,0,263,cuvox.de,0,213,True,False,2013,06,week2,Monday
203,SIGNUP,0,0,36,cuvox.de,0,1,False,uninvited,2013,03,week4,Sunday
204,PERSONAL_PROJECTS,0,0,0,gmail.com,0,1,False,uninvited,2012,08,week5,Thursday
205,PERSONAL_PROJECTS,0,1,13,gmail.com,0,1,False,uninvited,2013,12,week1,Tuesday
206,PERSONAL_PROJECTS,0,0,341,gmail.com,0,0,False,uninvited,2012,10,week4,Friday
207,SIGNUP,0,0,349,cuvox.de,0,1,False,uninvited,2013,07,week5,Monday
208,PERSONAL_PROJECTS,0,0,184,jourrapide.com,1,142,True,uninvited,2013,08,week1,Friday
209,GUEST_INVITE,0,0,353,gmail.com,0,1,False,False,2014,04,week5,Tuesday
210,ORG_INVITE,1,0,1,gmail.com,0,1,False,False,2013,10,week3,Tuesday
211,ORG_INVITE,0,0,342,gmail.com,0,2,False,False,2013,03,week4,Sunday
212,ORG_INVITE,1,0,64,cuvox.de,0,1,False,True,2014,03,week2,Thursday
213,GUEST_INVITE,0,0,304,gmail.com,0,107,True,False,2013,01,week3,Tuesday
214,SIGNUP,0,0,25,jourrapide.com,0,1,False,uninvited,2014,05,week1,Sunday
215,SIGNUP,0,0,15,ptzrm.com,0,1,False,uninvited,2013,12,week2,Saturday
216,SIGNUP_GOOGLE_AUTH,1,0,198,gmail.com,0,1,False,uninvited,2014,04,week1,Friday
217,GUEST_INVITE,0,1,153,yahoo.com,0,0,False,True,2014,04,week4,Tuesday
218,ORG_INVITE,1,0,303,cuvox.de,0,1,False,False,2014,05,week5,Friday
219,SIGNUP_GOOGLE_AUTH,0,1,68,gmail.com,0,1,False,uninvited,2012,07,week4,Monday
220,SIGNUP_GOOGLE_AUTH,0,0,108,gmail.com,0,4,False,uninvited,2014,05,week3,Friday
221,SIGNUP,1,1,77,yahoo.com,0,1,False,uninvited,2014,04,week4,Thursday
222,ORG_INVITE,0,0,142,gmail.com,0,2,False,False,2014,05,week2,Tuesday
223,SIGNUP,0,0,5,gmail.com,0,0,False,uninvited,2014,04,week3,Sunday
224,PERSONAL_PROJECTS,0,0,254,hotmail.com,0,1,False,uninvited,2013,10,week4,Friday
225,SIGNUP_GOOGLE_AUTH,0,0,81,gmail.com,0,1,False,uninvited,2013,10,week1,Monday
226,ORG_INVITE,1,0,275,hotmail.com,0,1,False,False,2013,07,week3,Tuesday
227,ORG_INVITE,1,1,7,gmail.com,0,1,False,False,2013,07,week2,Saturday
228,ORG_INVITE,1,0,242,hotmail.com,0,0,False,False,2012,09,week1,Saturday
229,ORG_INVITE,0,0,278,gmail.com,0,305,True,False,2013,03,week3,Wednesday
230,PERSONAL_PROJECTS,0,0,176,gmail.com,0,0,False,uninvited,2012,11,week2,Thursday
231,ORG_INVITE,0,0,2,gmail.com,0,1,False,False,2013,10,week3,Wednesday
232,ORG_INVITE,0,0,87,yahoo.com,0,0,False,False,2013,08,week1,Tuesday
233,SIGNUP_GOOGLE_AUTH,0,0,191,gmail.com,0,1,False,uninvited,2014,05,week5,Friday
234,PERSONAL_PROJECTS,0,0,7,cuvox.de,0,1,False,uninvited,2013,11,week4,Saturday
235,GUEST_INVITE,0,0,7,gmail.com,0,1,False,False,2013,05,week4,Monday
236,SIGNUP,1,1,8,cuvox.de,0,1,False,uninvited,2014,05,week2,Saturday
237,PERSONAL_PROJECTS,0,0,49,gmail.com,0,1,False,uninvited,2012,11,week3,Saturday
238,SIGNUP,0,0,36,cuvox.de,0,1,False,uninvited,2013,11,week1,Monday
239,ORG_INVITE,0,0,102,hotmail.com,0,1,False,False,2014,03,week1,Saturday
240,PERSONAL_PROJECTS,0,0,245,cuvox.de,0,3,False,uninvited,2012,10,week3,Tuesday
241,ORG_INVITE,1,0,56,oocsj.com,0,1,False,False,2013,07,week3,Saturday
242,SIGNUP,1,0,7,jourrapide.com,0,1,False,uninvited,2013,06,week2,Sunday
243,ORG_INVITE,0,0,154,yahoo.com,0,1,False,False,2013,03,week3,Friday
244,ORG_INVITE,0,0,218,gmail.com,0,196,True,True,2013,06,week1,Sunday
245,SIGNUP_GOOGLE_AUTH,0,0,385,gmail.com,0,1,False,uninvited,2014,03,week4,Sunday
246,ORG_INVITE,0,0,76,cuvox.de,0,60,True,False,2013,09,week2,Friday
247,GUEST_INVITE,0,0,9,rqbhi.com,0,0,False,False,2013,06,week3,Monday
248,GUEST_INVITE,0,0,321,yahoo.com,0,1,False,False,2014,03,week3,Thursday
249,SIGNUP,1,1,159,yahoo.com,0,1,False,uninvited,2013,08,week3,Thursday
250,ORG_INVITE,0,0,371,jourrapide.com,0,4,False,False,2014,02,week3,Saturday
251,ORG_INVITE,0,0,50,cuvox.de,0,1,False,False,2013,09,week4,Sunday
252,ORG_INVITE,0,1,75,gmail.com,0,1,False,True,2014,02,week2,Friday
253,PERSONAL_PROJECTS,1,0,11,jourrapide.com,0,2,False,uninvited,2014,03,week1,Tuesday
254,ORG_INVITE,0,0,333,jourrapide.com,0,1,False,False,2013,07,week2,Saturday
255,SIGNUP,1,0,137,gmail.com,0,1,False,uninvited,2012,08,week1,Thursday
256,SIGNUP,0,0,191,yahoo.com,1,0,False,uninvited,2013,07,week3,Wednesday
257,ORG_INVITE,1,1,278,suwyf.com,0,1,False,True,2014,05,week1,Monday
258,ORG_INVITE,1,0,1,crfye.com,0,1,False,False,2013,12,week1,Thursday
259,PERSONAL_PROJECTS,0,1,292,hotmail.com,0,1,False,uninvited,2013,01,week2,Sunday
260,SIGNUP_GOOGLE_AUTH,1,0,75,gmail.com,0,1,False,uninvited,2013,12,week3,Sunday
261,SIGNUP,1,0,70,yahoo.com,0,1,False,uninvited,2013,09,week4,Sunday
262,ORG_INVITE,0,0,89,yahoo.com,0,264,True,False,2013,04,week3,Wednesday
263,GUEST_INVITE,0,0,286,gmail.com,0,0,False,False,2012,06,week2,Wednesday
264,GUEST_INVITE,0,0,131,xcqzb.com,0,22,True,False,2013,10,week3,Sunday
265,SIGNUP_GOOGLE_AUTH,0,0,178,gmail.com,0,1,False,uninvited,2013,08,week3,Sunday
266,ORG_INVITE,0,0,213,yahoo.com,0,1,False,False,2014,05,week2,Thursday
267,SIGNUP,0,0,32,gmail.com,0,1,False,uninvited,2014,02,week4,Saturday
268,PERSONAL_PROJECTS,0,0,376,gustr.com,0,0,False,uninvited,2013,12,week4,Saturday
269,PERSONAL_PROJECTS,0,0,28,gustr.com,0,0,False,uninvited,2012,08,week3,Saturday
270,ORG_INVITE,0,0,1,cuvox.de,0,1,False,False,2013,06,week2,Thursday
271,PERSONAL_PROJECTS,0,0,366,yahoo.com,0,0,False,uninvited,2013,06,week4,Friday
272,SIGNUP,1,0,68,cuvox.de,0,1,False,uninvited,2012,07,week1,Saturday
273,GUEST_INVITE,0,0,16,gustr.com,0,0,False,True,2013,01,week2,Monday
274,ORG_INVITE,0,0,192,yahoo.com,0,21,True,False,2014,03,week2,Sunday
275,ORG_INVITE,0,0,5,gustr.com,0,0,False,True,2014,01,week3,Saturday
276,ORG_INVITE,0,0,6,gmail.com,0,3,False,False,2014,05,week2,Sunday
277,ORG_INVITE,0,0,27,gustr.com,0,1,False,False,2014,05,week2,Friday
278,GUEST_INVITE,0,0,92,gmail.com,0,0,False,False,2013,04,week2,Thursday
279,ORG_INVITE,1,0,300,yahoo.com,1,56,True,True,2013,07,week4,Tuesday
280,ORG_INVITE,0,0,16,hotmail.com,0,0,False,False,2013,01,week3,Tuesday
281,PERSONAL_PROJECTS,0,0,77,cuvox.de,1,0,False,uninvited,2013,04,week3,Sunday
282,SIGNUP_GOOGLE_AUTH,0,0,316,gmail.com,0,25,True,uninvited,2013,12,week3,Saturday
283,SIGNUP,0,0,52,yahoo.com,0,1,False,uninvited,2013,03,week1,Monday
284,SIGNUP,0,0,62,yahoo.com,0,1,False,uninvited,2014,03,week2,Thursday
285,ORG_INVITE,0,0,68,dvyir.com,0,1,False,False,2013,08,week3,Monday
286,PERSONAL_PROJECTS,1,0,40,gmail.com,0,0,False,uninvited,2012,12,week1,Thursday
287,PERSONAL_PROJECTS,1,0,131,hotmail.com,0,0,False,uninvited,2012,08,week4,Friday
288,PERSONAL_PROJECTS,1,1,185,oqpze.com,0,1,False,uninvited,2014,01,week2,Tuesday
289,ORG_INVITE,1,0,254,gustr.com,0,1,False,False,2014,05,week4,Wednesday
